id,event_type,event_cause,corridor,junction,zone,time_slot,requires_road_closure,daily_rain_mm,predicted_clearance_min,planned_impact_baseline,impact_score,impact_band
FKID006030,planned,construction,Non-corridor,SubbannaJunction,Central Zone 2,,True,0.0,45.414467,100.0,63.8,Medium
FKID006647,planned,construction,Non-corridor,SubedarChatramRd near SheshadripuramPS,Central Zone 2,,True,0.0,46.135498,100.0,63.8,Medium
FKID004771,planned,public_event,Non-corridor,,West Zone 1,,True,0.0,17.339048,100.0,63.8,Medium
FKID004426,planned,public_event,Non-corridor,,East Zone 1,,True,0.0,17.339048,100.0,63.8,Medium
FKID006648,planned,construction,Non-corridor,SubedarChatramRd near SheshadripuramPS,Central Zone 2,,True,0.0,46.135498,100.0,63.8,Medium
FKID000737,planned,public_event,Non-corridor,,,,True,0.0,17.339048,100.0,63.8,Medium
FKID002486,planned,construction,Non-corridor,SubbannaJunction,Central Zone 2,,True,0.0,42.955547,100.0,63.7,Medium
FKID007636,planned,construction,Non-corridor,UpparpetJunction,Central Zone 2,,True,0.0,36.917442,100.0,63.6,Medium
FKID000637,planned,construction,Non-corridor,,North Zone 1,,True,0.0,32.50055,100.0,63.5,Medium
FKID005833,planned,construction,Non-corridor,PlatformRdJunction,Central Zone 2,,True,0.0,33.834854,100.0,63.5,Medium
FKID000997,planned,construction,Non-corridor,,,,True,0.0,33.29827,100.0,63.5,Medium
FKID005283,planned,construction,Non-corridor,,North Zone 1,,True,0.0,32.50055,100.0,63.5,Medium
FKID003130,planned,construction,Non-corridor,,,,True,0.0,29.030443,100.0,63.4,Medium
FKID006210,planned,construction,Non-corridor,UttarahalliJunction,South Zone 1,,True,0.0,29.812284,100.0,63.4,Medium
FKID002354,planned,construction,Non-corridor,"Trilight Circle,Race course Road",Central Zone 2,,True,0.0,26.967318,100.0,63.3,Medium
FKID002018,planned,construction,Non-corridor,NavarangBarJunc-Dr RajkumarRd,West Zone 2,,True,0.0,24.827433,100.0,63.3,Medium
FKID004430,planned,public_event,Non-corridor,,,evening_peak,False,1.5,350.6407,100.0,62.5,Medium
FKID006315,planned,procession,Non-corridor,K R Circle,Central Zone 2,,True,0.0,48.11615,100.0,62.1,Medium
FKID001167,planned,procession,Non-corridor,,,,True,0.0,35.64537,100.0,61.8,Medium
FKID001685,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID001676,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID001641,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID001687,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID002054,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID002051,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID001925,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID001979,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID001934,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID001896,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID002017,planned,vip_movement,Non-corridor,,,,True,0.0,8.568517,100.0,61.2,Medium
FKID000426,planned,construction,Non-corridor,,,morning_peak,False,2.3,94.12842,100.0,61.1,Medium
FKID004684,planned,construction,Non-corridor,,South Zone 1,night,False,2.3,246.14447,100.0,60.2,Medium
FKID004092,planned,procession,Non-corridor,,,evening_peak,False,2.3,119.32305,100.0,59.9,Medium
FKID004885,planned,public_event,Non-corridor,,,midday,False,2.3,98.28877,100.0,59.1,Medium
FKID005750,planned,construction,Non-corridor,,East Zone 1,evening_peak,False,1.5,205.68834,100.0,58.5,Medium
FKID004887,planned,public_event,Non-corridor,,,midday,False,2.3,71.15759,100.0,58.5,Medium
FKID004427,planned,construction,Non-corridor,,North Zone 1,evening_peak,False,1.5,207.37807,100.0,58.5,Medium
FKID004884,planned,public_event,Non-corridor,,,midday,False,2.3,71.15759,100.0,58.5,Medium
FKID000956,planned,procession,Non-corridor,,,morning_peak,False,2.3,52.5564,100.0,58.4,Medium
FKID007575,planned,procession,Non-corridor,Marigowda-TavarkereRdJunc,South Zone 2,evening_peak,False,2.3,46.867615,100.0,58.3,Medium
FKID005098,planned,public_event,Non-corridor,,North Zone 1,morning_peak,False,1.5,139.89296,100.0,57.6,Medium
FKID006037,planned,construction,Mysore Road,ShivajiTalkiesJunc,Central Zone 2,midday,True,2.3,111.63528,23.6,57.5,Medium
FKID002656,planned,construction,Non-corridor,,,night,False,2.3,125.42017,100.0,57.4,Medium
FKID004019,planned,construction,Non-corridor,,,night,False,2.3,126.02013,100.0,57.4,Medium
FKID004609,planned,public_event,Non-corridor,,West Zone 1,morning_peak,False,1.5,109.04828,100.0,56.9,Medium
FKID004856,planned,construction,Non-corridor,,East Zone 2,night,False,2.3,91.35396,100.0,56.6,Medium
FKID005749,planned,construction,Non-corridor,,East Zone 1,night,False,1.5,308.122,100.0,56.5,Medium
FKID007581,planned,construction,Non-corridor,BTM16thMain-ORR Junc,South Zone 2,night,False,2.3,83.40954,100.0,56.5,Medium
FKID005099,planned,public_event,Non-corridor,,North Zone 1,morning_peak,False,1.5,91.154724,100.0,56.5,Medium
FKID006650,planned,public_event,Non-corridor,RajajinagarEntranceJunction,West Zone 2,night,False,2.3,27.7108,100.0,55.9,Medium
FKID004985,planned,construction,Non-corridor,,North Zone 1,evening_peak,False,1.5,90.83853,100.0,55.8,Medium
FKID004642,planned,construction,Non-corridor,,South Zone 1,morning_peak,False,1.5,86.452644,100.0,55.7,Medium
FKID006716,planned,construction,Non-corridor,SubbannaJunction,Central Zone 2,night,False,1.5,267.85596,100.0,55.5,Medium
FKID005167,planned,public_event,Non-corridor,,West Zone 1,morning_peak,False,1.5,33.33832,100.0,55.2,Medium
FKID005567,planned,construction,Non-corridor,,North Zone 2,evening_peak,False,1.5,59.285294,100.0,55.1,Medium
FKID002495,planned,construction,Non-corridor,,,evening_peak,False,1.5,59.722176,100.0,55.1,Medium
FKID005734,planned,construction,Non-corridor,,North Zone 2,midday,False,1.5,179.06036,100.0,55.1,Medium
FKID006074,planned,construction,Non-corridor,BTM16thMain-ORR Junc,South Zone 2,night,False,2.3,21.778059,100.0,55.0,Medium
FKID006440,planned,construction,Non-corridor,Peenya2ndStageBusStand,West Zone 1,night,False,2.3,22.2923,100.0,55.0,Medium
FKID005271,planned,procession,Non-corridor,,Central Zone 2,night,False,2.3,92.16271,100.0,54.9,Medium
FKID002059,planned,construction,Non-corridor,,,morning_peak,False,1.5,52.8371,100.0,54.9,Medium
FKID007425,planned,construction,Non-corridor,ISRO Junction-NewBEL Rd,West Zone 2,evening_peak,False,1.5,41.684208,100.0,54.7,Medium
FKID002440,planned,public_event,Non-corridor,,,morning_peak,False,1.5,2.657077,100.0,54.5,Medium
FKID006792,planned,construction,Non-corridor,D'SouzaCircle,Central Zone 1,evening_peak,False,1.5,30.979477,100.0,54.4,Medium
FKID005557,planned,construction,Non-corridor,,Central Zone 2,morning_peak,False,1.5,31.663563,100.0,54.4,Medium
FKID007744,planned,construction,Varthur Road,MaratahalliBridgeJunc,East Zone 1,midday,True,2.3,257.77222,1.9,54.3,Medium
FKID002103,planned,construction,Non-corridor,,,evening_peak,False,1.5,26.622053,100.0,54.3,Medium
FKID000717,planned,procession,Non-corridor,,,night,False,2.3,58.66008,100.0,54.1,Medium
FKID002353,planned,construction,Non-corridor,,,midday,False,1.5,129.92213,100.0,53.9,Medium
FKID001865,planned,procession,Non-corridor,,,night,False,2.3,31.91043,100.0,53.5,Medium
FKID002693,planned,construction,Non-corridor,,,night,False,1.5,180.91437,100.0,53.5,Medium
FKID001104,planned,procession,Non-corridor,,,morning_peak,False,1.5,61.64848,100.0,53.4,Medium
FKID001306,planned,construction,Non-corridor,,,night,False,1.5,155.3581,100.0,52.9,Medium
FKID005615,planned,construction,Bellary Road 1,,North Zone 2,night,True,2.3,29.607084,18.8,52.6,Medium
FKID005732,planned,construction,Non-corridor,,,midday,False,1.5,72.923546,100.0,52.6,Medium
FKID006581,planned,public_event,Non-corridor,Marigowda-TavarkereRdJunc,South Zone 2,night,False,1.5,111.031975,100.0,52.6,Medium
FKID001648,planned,procession,Non-corridor,,,morning_peak,False,1.5,22.502361,100.0,52.5,Medium
FKID001289,planned,construction,Non-corridor,,,night,False,1.5,137.75114,100.0,52.5,Medium
FKID005125,planned,construction,Non-corridor,,North Zone 2,night,False,1.5,132.4717,100.0,52.4,Medium
FKID005281,planned,construction,Non-corridor,,North Zone 2,night,False,1.5,128.7299,100.0,52.3,Medium
FKID005442,planned,construction,Non-corridor,,Central Zone 1,night,False,1.5,124.250725,100.0,52.2,Medium
FKID005459,planned,construction,Non-corridor,,Central Zone 1,night,False,1.5,124.250725,100.0,52.2,Medium
FKID005577,planned,construction,Non-corridor,,South Zone 1,night,False,1.5,125.61757,100.0,52.2,Medium
FKID004906,planned,public_event,Non-corridor,,East Zone 1,night,False,1.5,96.44959,100.0,52.2,Medium
FKID006547,planned,public_event,Non-corridor,Marigowda-TavarkereRdJunc,South Zone 2,night,False,1.5,92.12092,100.0,52.1,Medium
FKID000412,planned,construction,ORR North 1,,,night,True,2.3,152.11407,8.0,52.1,Medium
FKID004947,planned,construction,Airport New South Road,,East Zone 2,night,True,1.5,442.2806,1.8,51.8,Medium
FKID001499,planned,construction,ORR East 1,,,night,True,2.3,149.59055,6.9,51.8,Medium
FKID004247,planned,construction,Non-corridor,,,night,False,1.5,98.080765,100.0,51.6,Medium
FKID001943,planned,construction,Tumkur Road,,,night,True,2.3,27.979269,15.5,51.5,Medium
FKID001840,planned,construction,Varthur Road,,,midday,True,2.3,136.20346,1.9,51.5,Medium
FKID004680,planned,construction,Non-corridor,,North Zone 2,night,False,1.5,96.1042,100.0,51.5,Medium
FKID000998,planned,construction,Tumkur Road,,,evening_peak,True,1.5,56.81444,15.5,51.4,Medium
FKID007016,planned,construction,Non-corridor,SubbannaJunction,Central Zone 2,night,False,1.5,80.72133,100.0,51.2,Medium
FKID006620,planned,construction,Bannerghata Road,BilekahalliJunc,South Zone 2,midday,True,1.5,269.02643,7.4,51.1,Medium
FKID004381,planned,construction,Non-corridor,,,night,False,1.5,78.41356,100.0,51.1,Medium
FKID004527,planned,public_event,Non-corridor,,,night,False,1.5,36.762875,100.0,50.9,Medium
FKID006105,planned,public_event,Non-corridor,FTI Junction(KanteeravaStudio),West Zone 1,night,False,1.5,28.318197,100.0,50.7,Medium
FKID005291,planned,public_event,Non-corridor,,South Zone 2,night,False,1.5,23.78583,100.0,50.6,Medium
FKID001282,planned,construction,Non-corridor,,,night,False,1.5,50.45244,100.0,50.5,Medium
FKID005948,planned,construction,ORR North 1,"VeerannapalyaJunction(BEL,HO)",North Zone 1,night,True,1.5,302.82767,8.0,50.4,Medium
FKID005004,planned,construction,Non-corridor,,South Zone 2,night,False,1.5,43.56393,100.0,50.3,Medium
FKID003153,planned,procession,Non-corridor,,,night,False,1.5,118.455246,100.0,50.3,Medium
FKID002533,planned,construction,Non-corridor,,,night,False,1.5,40.268772,100.0,50.2,Medium
FKID004242,planned,construction,Non-corridor,,,night,False,1.5,40.004513,100.0,50.2,Medium
FKID004622,planned,construction,Non-corridor,,West Zone 2,night,False,1.5,37.303204,100.0,50.2,Medium
FKID004722,planned,construction,Non-corridor,,,night,False,1.5,37.792213,100.0,50.2,Medium
FKID001160,planned,construction,Non-corridor,,,night,False,1.5,31.945187,100.0,50.0,Medium
FKID005634,planned,public_event,Mysore Road,,West Zone 1,night,True,1.5,49.3123,23.6,50.0,Medium
FKID002672,planned,construction,Non-corridor,,,night,False,1.5,30.165167,100.0,50.0,Medium
FKID000478,planned,procession,Non-corridor,,,night,False,1.5,103.488144,100.0,50.0,Medium
FKID000229,planned,construction,Mysore Road,,,midday,True,1.5,4.1389246,23.6,49.8,Medium
FKID003539,planned,construction,Non-corridor,,,night,False,1.5,23.028622,100.0,49.8,Medium
FKID002447,planned,construction,Non-corridor,,,night,False,1.5,20.423279,100.0,49.8,Medium
FKID001864,planned,construction,Non-corridor,,,night,False,1.5,18.3876,100.0,49.7,Medium
FKID001211,planned,construction,Varthur Road,,,midday,True,1.5,280.3348,1.9,49.7,Medium
FKID005263,planned,construction,Non-corridor,,East Zone 2,night,False,1.5,17.767471,100.0,49.7,Medium
FKID002673,planned,construction,Non-corridor,,,night,False,1.5,10.715125,100.0,49.6,Medium
FKID000192,planned,construction,Non-corridor,,,night,False,1.5,4.366895,100.0,49.4,Medium
FKID004753,planned,procession,Non-corridor,,South Zone 2,night,False,1.5,70.33295,100.0,49.2,Medium
FKID001135,planned,construction,Mysore Road,,,night,True,1.5,36.1279,23.6,49.0,Medium
FKID005875,planned,construction,ORR North 1,"VeerannapalyaJunction(BEL,HO)",North Zone 1,night,True,1.5,243.0778,8.0,49.0,Medium
FKID005248,planned,procession,Non-corridor,,South Zone 1,night,False,1.5,52.15389,100.0,48.8,Medium
FKID002110,planned,procession,Non-corridor,,,night,False,1.5,53.401695,100.0,48.8,Medium
FKID007731,planned,construction,ORR West 1,Delmia-Jayanagar,South Zone 1,night,True,2.3,29.123049,6.0,48.7,Medium
FKID007237,planned,construction,Mysore Road,HudsonCircle,Central Zone 2,night,True,1.5,18.837297,23.6,48.6,Medium
FKID006784,planned,construction,Mysore Road,UlsoorGateJunc,Central Zone 2,night,True,1.5,20.279593,23.6,48.6,Medium
FKID006894,planned,construction,Airport New South Road,HennurRd-DavisRdJunction,North Zone 1,night,True,2.3,77.84453,1.8,48.5,Medium
FKID007560,planned,construction,IRR(Thanisandra road),BDA Junctio-Koramangala,South Zone 2,night,True,2.3,50.42776,3.5,48.4,Medium
FKID005354,planned,procession,Non-corridor,,North Zone 1,night,False,1.5,32.624916,100.0,48.3,Medium
FKID007408,planned,procession,Non-corridor,Geethanjali jn,West Zone 2,night,False,1.5,24.584734,100.0,48.1,Medium
FKID004165,planned,protest,Non-corridor,,West Zone 1,night,False,1.5,17.836702,100.0,48.0,Medium
FKID002608,planned,vehicle_breakdown,Non-corridor,,,night,False,1.5,17.15875,100.0,48.0,Medium
FKID007603,planned,construction,ORR North 1,"VeerannapalyaJunction(BEL,HO)",North Zone 1,night,True,1.5,189.22963,8.0,47.8,Medium
FKID005292,planned,vip_movement,Non-corridor,,South Zone 2,night,False,1.5,9.333778,100.0,47.8,Medium
FKID004535,planned,protest,Non-corridor,,,night,False,1.5,12.660001,100.0,47.8,Medium
FKID006838,planned,procession,Non-corridor,MarenahalliRd-18thMainRdJunc,South Zone 1,night,False,1.5,8.65253,100.0,47.8,Medium
FKID006118,planned,construction,ORR East 1,SilkBoardJunc,South Zone 2,morning_peak,True,1.5,13.001917,6.9,47.8,Medium
FKID007027,planned,construction,ORR East 1,5thMainHSR,South Zone 2,morning_peak,True,1.5,8.887504,6.9,47.7,Medium
FKID004721,planned,vip_movement,Non-corridor,,,night,False,1.5,7.1713495,100.0,47.7,Medium
FKID000816,planned,construction,Tumkur Road,,,midday,True,1.5,8.593589,15.5,47.5,Medium
FKID007635,planned,vehicle_breakdown,Mysore Road,UlsoorGateJunc,Central Zone 2,night,True,1.5,38.490757,23.6,47.3,Medium
FKID002225,planned,construction,Varthur Road,,,midday,True,1.5,165.77074,1.9,47.0,Medium
FKID008083,planned,construction,Bellary Road 2,SantheCircle,,night,True,1.5,93.307686,10.7,46.4,Medium
FKID005185,planned,construction,Airport New South Road,,North Zone 1,midday,True,1.5,132.68832,1.8,46.2,Medium
FKID000490,planned,construction,Varthur Road,,,midday,True,1.5,119.893845,1.9,45.9,Medium
FKID007633,planned,construction,ORR North 1,"VeerannapalyaJunction(BEL,HO)",North Zone 1,night,True,1.5,90.64224,8.0,45.5,Medium
FKID007632,planned,construction,ORR North 1,"VeerannapalyaJunction(BEL,HO)",North Zone 1,night,True,1.5,70.20435,8.0,45.0,Medium
FKID007525,planned,construction,ORR North 1,"VeerannapalyaJunction(BEL,HO)",North Zone 1,night,True,1.5,57.353218,8.0,44.7,Medium
FKID006473,planned,procession,Bellary Road 2,Batrayanapura(Amrutahalli)Junction,North Zone 1,night,True,1.5,96.586205,10.7,44.7,Medium
FKID004792,planned,public_event,ORR North 1,,Central Zone 1,night,True,1.5,4.561386,8.0,44.2,Medium
FKID004216,planned,construction,Non-corridor,,,,False,0.0,122.45415,100.0,43.6,Medium
FKID006401,planned,public_event,Old Airport Road,DomlurWaterTank,Central Zone 1,night,True,1.5,53.7621,2.4,43.6,Medium
FKID001480,planned,construction,Old Madras Road,,,night,True,1.5,1.6140442,8.2,43.5,Medium
FKID004194,planned,construction,Non-corridor,,,,False,0.0,117.71207,100.0,43.5,Medium
FKID004740,planned,construction,Non-corridor,,North Zone 2,,False,0.0,118.18374,100.0,43.5,Medium
FKID001462,planned,construction,ORR East 2,,,night,False,2.3,752.71606,5.8,43.4,Medium
FKID001930,planned,construction,ORR East 2,,,night,False,2.3,752.71606,5.8,43.4,Medium
FKID004646,planned,construction,ORR East 2,,East Zone 1,night,False,2.3,751.8619,5.8,43.4,Medium
FKID001204,planned,construction,ORR East 2,,,evening_peak,False,1.5,776.9183,5.8,43.2,Medium
FKID002026,planned,construction,ORR East 2,,,evening_peak,False,1.5,776.9183,5.8,43.2,Medium
FKID007213,planned,procession,Magadi Road,LeprosyhospitalJunc,Central Zone 2,night,True,1.5,64.64909,8.0,43.1,Medium
FKID006815,planned,construction,ORR East 1,"Bellandur Junction, Outer ring road",East Zone 1,night,True,1.5,3.285705,6.9,43.1,Medium
FKID001829,planned,construction,ORR East 2,,,evening_peak,False,1.5,767.8607,5.8,42.9,Medium
FKID002581,planned,construction,ORR East 2,,,evening_peak,False,1.5,764.60364,5.8,42.9,Medium
FKID005205,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,759.79987,5.8,42.8,Medium
FKID004563,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,759.79987,5.8,42.8,Medium
FKID004477,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,760.88025,5.8,42.8,Medium
FKID005258,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,759.79987,5.8,42.8,Medium
FKID001726,planned,construction,ORR East 2,,,night,False,2.3,727.408,5.8,42.8,Medium
FKID004956,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,760.88025,5.8,42.8,Medium
FKID000553,planned,construction,ORR East 2,,,night,False,2.3,727.408,5.8,42.8,Medium
FKID004784,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,755.0234,5.8,42.7,Medium
FKID002445,planned,public_event,Non-corridor,,,,False,0.0,50.461163,100.0,42.6,Medium
FKID005030,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,752.00946,5.8,42.6,Medium
FKID002245,planned,construction,ORR East 2,,,evening_peak,False,1.5,749.3553,5.8,42.5,Medium
FKID002097,planned,construction,ORR East 2,,,evening_peak,False,1.5,749.3553,5.8,42.5,Medium
FKID002380,planned,construction,ORR East 2,,,evening_peak,False,1.5,749.3553,5.8,42.5,Medium
FKID007248,planned,procession,Magadi Road,LeprosyhospitalJunc,Central Zone 2,night,True,1.5,32.912815,8.0,42.4,Medium
FKID004597,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,746.22076,5.8,42.4,Medium
FKID007249,planned,procession,Magadi Road,LeprosyhospitalJunc,Central Zone 2,night,True,1.5,32.912815,8.0,42.4,Medium
FKID004555,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,737.9215,5.8,42.3,Medium
FKID004662,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,739.7666,5.8,42.3,Medium
FKID005604,planned,construction,Non-corridor,,South Zone 1,,False,0.0,68.767,100.0,42.3,Medium
FKID001523,planned,construction,ORR East 2,,,evening_peak,False,1.5,740.6187,5.8,42.3,Medium
FKID004299,planned,construction,ORR East 2,,East Zone 1,evening_peak,False,1.5,729.31805,5.8,42.1,Medium
FKID006806,planned,public_event,Non-corridor,PurnimaTheaterJunc,Central Zone 2,,False,0.0,20.624914,100.0,41.9,Medium
FKID005672,planned,construction,ORR North 1,,East Zone 2,,True,0.0,299.26523,8.0,41.8,Medium
FKID005746,planned,construction,Non-corridor,,North Zone 2,,False,0.0,44.574326,100.0,41.8,Medium
FKID000052,planned,construction,ORR East 2,,,evening_peak,False,1.5,715.1484,5.8,41.7,Medium
